137, 1
200, 1
101, 1
173, 1
110, 1
131, 1
176, 1
59, 1
53, 1
125, 1
89, 1
98, 1
238, 1
124, 1
106, 1
115, 1
127, 1
91, 1
73, 1
85, 1
94, 1
148, 1
76, 1
97, 1
70, 1
156, 1
174, 1
96, 1
132, 1
144, 1
126, 1
102, 1
257, 1
206, 1
95, 2
77, 2
74, 2
118, 2
67, 2
112, 2
165, 2
90, 2
72, 2
92, 3
86, 3
68, 3
80, 3
82, 3
60, 3
66, 3
65, 4
58, 4
61, 4
69, 4
78, 4
57, 4
84, 4
35, 5
56, 5
55, 5
51, 5
47, 6
45, 6
62, 7
64, 8
39, 8
49, 9
31, 9
37, 9
50, 10
41, 10
46, 10
43, 10
52, 11
54, 11
38, 13
48, 13
40, 15
42, 17
33, 17
44, 19
29, 19
27, 26
34, 33
36, 33
25, 34
30, 43
23, 44
32, 51
28, 53
21, 54
26, 66
19, 70
24, 99
17, 104
22, 127
15, 160
20, 165
13, 174
18, 235
16, 314
11, 330
14, 483
9, 743
12, 816
7, 1081
10, 1258
8, 2921
5, 4105
6, 8203
4, 62786
3, 91241
2, 713942
1, 4612989
