1,4588847
2,710177
3,90061
4,62235
5,3808
6,8021
7,965
8,2847
9,662
10,1205
11,282
12,783
13,149
14,467
15,144
16,305
17,81
18,224
19,59
20,156
21,49
22,121
23,34
24,89
25,27
26,60
27,20
28,49
29,15
30,42
31,7
32,46
33,12
34,31
35,5
36,28
37,7
38,13
39,7
40,13
41,8
42,16
43,7
44,17
45,6
46,9
47,4
48,13
49,9
50,9
51,3
52,10
53,1
54,10
55,4
56,4
57,3
58,4
59,1
60,3
61,2
62,7
64,7
65,2
66,3
67,1
68,2
69,3
70,1
72,2
74,2
76,1
77,1
78,4
80,3
82,3
84,4
85,1
86,3
89,1
90,2
91,1
92,2
94,1
95,2
98,1
102,1
106,1
110,1
112,1
115,1
118,2
124,1
125,1
126,1
127,1
132,1
137,1
144,1
148,1
156,1
165,1
173,1
174,1
206,1
238,1
